Content,output_dir,file name,input_file,language,count,random_sequences,include_letters,include_numbers,include_symbols,length,random,format,thread_count,extension,skew_angle,random_skew,use_wikipedia,blur,random_blur,background,handwritten,name_format,distorsion,distorsion_orientation,width,alignment,orientation,text_color,space_width,margins,fit,font,case,Omnipage-OCR eng. result,Raw Score
不謹慎な狐をOCRで読み取れる。,out/,0.jpg,texts/testjp.txt,cn,100,False,False,False,False,16,False,32,1,jpg,0,False,False,1.5592190283110074,True,0,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,,,平”“●α倉で級h電れ‘．,0.137931034482759
不謹慎な狐をOCRで読み取れる。,out/,1.jpg,texts/testjp.txt,cn,100,False,False,False,False,16,False,32,1,jpg,0,False,False,3.260418824779131,True,0,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,,,?,0
不謹慎な狐をOCRで読み取れる。,out/,2.jpg,texts/testjp.txt,cn,100,False,False,False,False,16,False,32,1,jpg,0,False,False,2.0614791225542493,True,0,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,,,,0
不謹慎な狐をOCRで読み取れる。,out/,3.jpg,texts/testjp.txt,cn,100,False,False,False,False,16,False,32,1,jpg,0,False,False,1.4014033683863905,True,0,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,,,不”な罵，α貫で臓み●れ．.,0.333333333333333
不謹慎な狐をOCRで読み取れる。,out/,4.jpg,texts/testjp.txt,cn,100,False,False,False,False,16,False,32,1,jpg,0,False,False,2.8237180203355443,True,0,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,,,?‘,0
不謹慎な狐をOCRで読み取れる。,out/,5.jpg,texts/testjp.txt,cn,100,False,False,False,False,16,False,32,1,jpg,0,False,False,0.5176161263825856,True,0,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,,,不謹慎な狐をOCRで読み取れる。,1
不謹慎な狐をOCRで読み取れる。,out/,6.jpg,texts/testjp.txt,cn,100,False,False,False,False,16,False,32,1,jpg,0,False,False,3.8087454454169527,True,0,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,,,?,0
不謹慎な狐をOCRで読み取れる。,out/,7.jpg,texts/testjp.txt,cn,100,False,False,False,False,16,False,32,1,jpg,0,False,False,0.4968745641512058,True,0,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,,,不謹慎な狐をOCRで読み取れる。,1
不謹慎な狐をOCRで読み取れる。,out/,8.jpg,texts/testjp.txt,cn,100,False,False,False,False,16,False,32,1,jpg,0,False,False,2.21425326968684,True,0,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,,,,0
不謹慎な狐をOCRで読み取れる。,out/,9.jpg,texts/testjp.txt,cn,100,False,False,False,False,16,False,32,1,jpg,0,False,False,0.17952713074666748,True,0,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,,,不謹慎な狐をOCRで読み取れる。,1
